precio		82.300.00

Tamaño de la pantalla	27"
Ver área	597,888 × 336,312
Panel	IPS
Relación de aspecto	16,9
Resolución	1,920 x 1,080
Tamaño de píxel	-
Punto / Pixel por pulgada	-
Ángulo de visión (H / V)	178°/178°
Tiempo de respuesta de píxeles	-
Frecuencia de actualización	75HZ
Brillo	250cd/㎡
Relación de contraste	1000:1 (típico)
Gama de colores	72%
Entrada múltiple	D-Sub / HDMI
Puerto USB	NO
Cámara	NO
Altavoz	NO
Consumo de energía (típico / máximo)	0.5 W
Adaptador de corriente	Adaptador externo
Estar	
Color	Negro
Ancho del bisel lateral	
Dimensiones con soporte (HxWxD)	539.2 x 425.3 x 232.0 mm
Peso (incluido soporte)	3,7 KG
Cable de monitor	si / + HDMI
Luz azul baja / comodidad para los ojos	
